,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:02,,GM: url: / b/ bedroom/ ADE_train_00003768.jpg,,GM,A
12,0 days 00:00:02,,GM: You can go: [/ s]outh [/ e]ast,,GM,A
13,0 days 00:00:02,,"GM: Welcome to the game, parched_sponge! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:02,,GM: You have to meet in the room of type: j/ jacuzzi/ indoor,,GM,A
15,0 days 00:00:02,,,GM: url: / h/ home_office/ ADE_train_00009326.jpg,GM,B
17,0 days 00:00:03,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
18,0 days 00:00:03,,,"GM: Welcome to the game, mirthful_tobacco! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:03,,,GM: You have to meet in the room of type: j/ jacuzzi/ indoor,GM,B
20,0 days 00:00:10,,A: cmd: look,,A,All
21,0 days 00:00:10,,GM: You can go: [/ s]outh [/ e]ast,,GM,A
22,0 days 00:00:14,,A: cmd: s,,A,All
23,0 days 00:00:14,,GM: url: / j/ jacuzzi/ indoor/ ADE_train_00009935.jpg,,GM,A
25,0 days 00:00:15,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
26,0 days 00:00:18,,,B: cmd: look,B,All
27,0 days 00:00:18,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
28,0 days 00:00:20,,,B: cmd: n,B,All
29,0 days 00:00:20,,,GM: url: / s/ street/ ADE_train_00018296.jpg,GM,B
31,0 days 00:00:20,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
32,0 days 00:00:23,,,B: cmd: s,B,All
33,0 days 00:00:23,,,GM: url: / h/ home_office/ ADE_train_00009326.jpg,GM,B
35,0 days 00:00:23,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
36,0 days 00:00:24,A: I found a jacuzzi I think,,,A,All
37,0 days 00:00:26,,,B: cmd: w,B,All
38,0 days 00:00:26,,,GM: url: / j/ jacuzzi/ indoor/ ADE_train_00009935.jpg,GM,B
40,0 days 00:00:26,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
41,0 days 00:00:34,B: does it have two plants?,,,B,All
42,0 days 00:00:39,"A: It has two potted plants at the top, and some window glasses",,,A,All
43,0 days 00:00:43,"A: Yep, two plants",,,A,All
44,0 days 00:00:50,B: ive found one too,,,B,All
45,0 days 00:00:58,A: Does it sound like the same one?,,,A,All
46,0 days 00:01:03,A: Do you have the wine as well?,,,A,All
47,0 days 00:01:13,B: two glasses as well?,,,B,All
48,0 days 00:01:14,B: yeah,,,B,All
49,0 days 00:01:17,B: seems to be it,,,B,All
50,0 days 00:01:23,"A: Yes, that's the one",,,A,All
51,0 days 00:01:25,,,B: cmd: done,B,All
52,0 days 00:01:25,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'",GM,All
53,0 days 00:01:27,A: Good job us :),,,A,All
54,0 days 00:01:29,,A: cmd: done,,A,All
55,0 days 00:01:29,GM: Well done! Both of you are                            indeed in the same room of type: j/jacuzzi/indoor!,GM: Well done! Both of you are                            indeed in the same room of type: j/ jacuzzi/ indoor!,GM: Well done! Both of you are                            indeed in the same room of type: j/ jacuzzi/ indoor!,GM,All
56,0 days 00:01:29,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
57,0 days 00:01:30,GM: ,GM: ,GM: ,GM,All
58,0 days 00:01:30,GM: Here's your token: 1008QCBZVO,GM: Here's your token: 1008QCBZVO,GM: Here's your token: 1008QCBZVO,GM,All
59,0 days 00:01:32,B: nice job!,,,B,All
60,0 days 00:01:39,A: ,A: ,,A,All
61,0 days 00:01:39,,,GM: parched_sponge has left the game.,GM,B
62,0 days 00:01:43,B: ,,B: ,B,All
63,0 days 00:01:43,,GM: mirthful_tobacco has left the game.,,GM,A
64,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM,All
65,0 days 00:45:30,GM: ,GM: ,GM: ,GM,All
