image_path,description
ADE_train_00000008.jpg,"The image features a modern bathroom with a large, white, oval-shaped shower stall as the main focus. The shower has a see-through glass door, giving it a sleek and elegant appearance. The bathroom is predominantly white, with the shower stall standing out against the darker tiled floor.
In addition to the shower, there is a toilet visible on the left side of the bathroom. The overall design and layout of the bathroom create a clean and minimalist atmosphere."
ADE_train_00000009.jpg,"The image features a white bathroom with a toilet situated on the right side and a sink located on the left side. The main focus is a white bathtub placed in the center of the room. The bathroom appears to be empty and clean, ready for use.
There are several toothbrushes scattered around the sink area, with some placed closer to the edge and others further away. Additionally, there are two bottles located near the sink, possibly containing bathroom or personal care products."
ADE_train_00000017.jpg,"The image features a bathroom with a white sink and a large mirror above it. The mirror is positioned on the wall, reflecting the sink and the area around it. A hair dryer is plugged in and located near the sink, ready for use. The bathroom also has a toilet, which can be seen in the background. The overall color scheme of the bathroom is white, giving it a clean and bright appearance."
ADE_train_00000018.jpg,"The image features a small bathroom with a white toilet positioned next to a bathtub. The toilet is covered with a blue towel, and there is another towel placed on the floor nearby. The bathroom has a sink located to the left side of the space.
In addition to the main fixtures, there are several bottles scattered around the bathroom, possibly containing toiletries or cleaning products. The overall appearance of the bathroom is simple and functional."
ADE_train_00000027.jpg,"The image features a small, cozy bathroom with green walls and a pink toilet. The toilet is situated underneath a couple of wall-mounted baskets, and there is a toilet paper roller next to it. Above the toilet, a mirror is mounted on the wall, reflecting the room's interior.
In addition to the main fixtures, there are several decorative items and toiletries in the bathroom. A vase with flowers is placed on the left side of the room, and a bottle can be seen nearby. There are also a couple of books in the bathroom, one located near the left side and the other closer to the right side of the room."
ADE_train_00000029.jpg,"The image features a small bathroom with a white sink and a bathtub. The bathtub is equipped with a shower head and is situated towards the right side of the room. The sink is located on the left side of the bathroom, with a mirror above it.
There are several toothbrushes near the sink, indicating that multiple people use the bathroom. Additionally, there are a few bottles placed around the room, possibly containing toiletries or bathroom products. The bathroom appears to be well-organized and functional for everyday use."
ADE_train_00000031.jpg,"The image features a modern, white bathroom with a large glass shower stall. The shower stall has a see-through glass door, giving the bathroom an open and clean appearance. Inside the shower, there are multiple bottles, possibly containing shower products or shampoo.
In addition to the shower area, there is a sink located to the left side of the bathroom. A toilet can be seen in the far right corner of the room. A few towels are also present in the bathroom, with one placed near the sink and another one near the toilet."
ADE_train_00000036.jpg,"The image features a cozy bathroom with wooden floors and walls. The bathroom has a rustic charm and includes a sink, a bathtub, and a window. The sink is positioned on the left side of the room, while the bathtub is located on the right side. A wooden bench is placed in front of the window, providing a comfortable seating area.
In addition to these elements, there are several bottles scattered throughout the bathroom, possibly containing toiletries or bath products. A vase can be seen on the right side of the room, adding a decorative touch to the space. A potted plant is also present, further enhancing the room's ambiance."
ADE_train_00000039.jpg,"The image features a spacious bathroom with a large marble countertop and a bathtub situated under a window. The bathroom is well-decorated with several potted plants placed throughout the room, adding a touch of greenery and life to the space. There are four plants in total, with one near the left side of the room, two near the right side, and one in the middle.
Additionally, there are multiple bottles placed on the countertop, likely containing various bathroom products. A sink can be seen towards the right side of the countertop, providing a functional space for washing and grooming. The overall atmosphere of the bathroom is elegant and inviting."
ADE_train_00000042.jpg,"The image features a small, clean bathroom with a white sink and a mirror above it. The sink is positioned in the middle of the room, and the mirror reflects the doorway of the adjacent room. Above the sink, there is a medicine cabinet with a mirrored door, providing storage space for bathroom essentials.
In addition to the sink and medicine cabinet, there are several toothbrushes placed near the sink, indicating that the bathroom is actively used. The bathroom's cleanliness and organization suggest that it is well-maintained and ready for use."
